"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.5693658536586","65.9880243902439","66.3655365853659","66.7139756097561","67.0442926829268","67.369756097561","67.699","68.0346829268293","68.3771463414634","68.7284146341464","69.0861463414634","69.4460975609756","69.7986585365854","70.1396585365854","70.4652926829268","70.7778048780488","71.0808292682927","71.3777073170732","71.6697804878049","71.9528536585366","72.2201463414634","72.4623414634146","72.6731951219512","72.8490243902439","72.989756097561","73.0979756097561","73.1793658536585","73.2427073170732","73.296243902439","73.3444878048781","73.3899756097561","73.4331219512195","73.471756097561","73.5053170731707","73.535756097561","73.5636097560976","73.5894390243902","73.6148048780488","73.6422926829268","73.6753902439025","73.7206097560976","73.7829024390244","73.865243902439","73.9685609756098","74.0908536585366","74.2280731707317","74.3761951219512","74.526756097561","74.6757317073171","74.8181463414634","74.9535365853659","75.0813902439024","75.205756097561","75.3286585365854","75.4510975609756","75.5735853658537","",
"Afghanistan","AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","32.328512195122","32.7774390243902","33.2199024390244","33.6578780487805","34.0928780487805","34.5253902439024","34.9574146341463","35.3894146341463","35.8224146341463","36.2603902439024","36.7028292682927","37.152756097561","37.6101463414634","38.0785365853659","38.5609024390244","39.0592926829268","39.5757073170732","40.1101463414634","40.6676097560976","41.2505853658537","41.8675365853659","42.5269268292683","43.2307317073171","43.9759268292683","44.7590243902439","45.5770243902439","46.4269512195122","47.2963414634146","48.1697317073171","49.0311219512195","49.8610487804878","50.6409756097561","51.3629268292683","52.0218780487805","52.6143414634146","53.1393902439024","53.6020487804878","54.0178292682927","54.4027317073171","54.7672682926829","55.1258780487805","55.4875365853659","55.8571951219512","56.2352926829268","56.6263170731707","57.027243902439","57.4325609756098","57.8338292682927","58.2250243902439","58.6036829268293","58.9708292682927","59.3279512195122","59.6796097560976","60.0282682926829","60.3744634146342","60.7171707317073","",
"Angola","AGO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","32.9848292682927","33.3862195121951","33.7875853658537","34.1884634146342","34.5903414634146","34.9922195121951","35.3950975609756","35.7999756097561","36.2058536585366","36.610243902439","37.0151219512195","37.4210243902439","37.8269268292683","38.2268292682927","38.6137804878049","38.9758048780488","39.301","39.5813658536585","39.8158536585366","40.0053902439024","40.159243902439","40.2886585365854","40.408","40.528243902439","40.6539512195122","40.7777804878049","40.887487804878","40.9738780487805","41.0377073170732","41.0876585365854","41.1383414634146","41.2063414634146","41.3130243902439","41.4781951219512","41.716243902439","42.0514634146341","42.5016341463415","43.0621219512195","43.7142682926829","44.439","45.2047804878049","45.9731463414634","46.7117317073171","47.3931707317073","48.003512195122","48.5388048780488","49.0070487804878","49.4357317073171","49.8473902439024","50.2510243902439","50.6541707317073","51.0593170731707","51.464","51.8661707317073","52.2668780487805","52.6660975609756","",
"Albania","ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.2543658536585","63.2734634146342","64.1628536585366","64.8870975609756","65.4381951219512","65.8273902439024","66.0893170731707","66.2872195121951","66.4749512195122","66.6816097560976","66.9325853658537","67.2388780487805","67.5859512195122","67.9579512195122","68.3483414634146","68.7412195121951","69.115512195122","69.4561707317073","69.754243902439","70.0096585365854","70.2359756097561","70.4544634146341","70.6851219512195","70.9373902439024","71.2065365853659","71.4712195121951","71.6975609756098","71.8619512195122","71.9532926829268","71.9785853658537","71.9573170731707","71.9184146341463","71.9008048780488","71.9358536585366","72.0419512195122","72.2360243902439","72.5274146341463","72.8980975609756","73.3265853658537","73.7933902439025","74.2715365853659","74.7325609756098","75.1546097560976","75.5232926829268","75.8312195121951","76.0816097560976","76.2861219512195","76.4702926829268","76.6520731707317","76.8403658536586","77.0369512195122","77.2405853658537","77.4439756097561","77.6404634146342","77.8304634146342","78.0144634146342","",
"Andorra","AND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","46.8527797921501","47.4324476238745","48.0105023533671","48.5912405492561","49.1755375542711","49.7587022766348","50.3309561927589","50.8863344033972","51.4244431078097","51.9514697813755","52.4780380561508","53.0195204835517","53.5859803631382","54.1783804585936","54.7907407385185","55.4141615033653","56.0375710525621","56.6517639489606","57.2561504976852","57.858262457788","58.4700666332268","59.1022781026661","59.7571867206863","60.4289595397218","61.1026066320005","61.7565804661351","62.3706563445299","62.9322160115442","63.433770261212","63.8767296268759","64.3049397131398","64.6687158260933","64.9583933834418","65.3178877269807","65.6807283274307","66.0871582712499","66.4398002625541","66.773930569045","67.0808381743007","67.3597514930299","67.612404847303","67.8438498307347","68.0624483662611","68.2771303200422","68.4934516665391","68.712901360839","68.9344991639139","69.1525494073144","69.3619865216983","69.560038046202","69.7493027292696","69.9356702332334","70.1254128935969","70.3198441872136","70.5171625174849","70.7140651114997","",
"United Arab Emirates","ARE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","52.2432195121951","53.2865609756098","54.327","55.363512195122","56.3925853658537","57.4057073170732","58.3918536585366","59.3404634146342","60.2440487804878","61.0985853658537","61.9010487804878","62.6549512195122","63.3663170731707","64.0431219512195","64.6889024390244","65.3051463414634","65.8933414634146","66.454","66.9886097560976","67.4971707317073","67.9831951219512","68.4451707317073","68.8840975609756","69.3014878048781","69.6983170731707","70.0766341463415","70.4363902439024","70.7781219512195","71.1048292682927","71.418","71.7201463414634","72.0122926829268","72.2964146341463","72.5730243902439","72.8455853658537","73.1150731707317","73.3839268292683","73.6526585365854","73.9202195121951","74.1871707317073","74.4515365853659","74.7128780487805","74.9682682926829","75.2172195121951","75.4572682926829","75.6863902439025","75.9045365853659","76.1111707317073","76.307756097561","76.4947804878049","76.675243902439","76.8511951219512","77.0241463414634","77.1956341463415","77.3681707317073","77.541243902439","",
"Argentina","ARG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.2155365853659","65.338512195122","65.4326097560976","65.5093902439024","65.5824146341463","65.6686829268293","65.782243902439","65.9300243902439","66.113487804878","66.3350975609756","66.5908292682927","66.8731219512195","67.1679512195122","67.4653170731707","67.7586585365854","68.0479512195122","68.3367073170732","68.6294390243903","68.9266341463415","69.2243170731707","69.5144878048781","69.7866585365854","70.0353170731707","70.257","70.4541951219512","70.6313902439024","70.7990731707317","70.967756097561","71.1459024390244","71.3375365853659","71.5436585365854","71.7632926829268","71.9889512195122","72.2156585365854","72.4413902439024","72.6651219512195","72.8873414634146","73.1080487804878","73.3276829268293","73.5442682926829","73.7558048780488","73.9603170731707","74.1557804878049","74.3412682926829","74.5187804878049","74.6878048780488","74.8499024390244","75.0090487804878","75.1662682926829","75.3245609756098","75.4849756097561","75.6490487804878","75.816243902439","75.9860975609756","76.1586097560976","76.3342195121951","",
"Armenia","ARM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.8634634146342","66.2843902439024","66.7098536585366","67.1378536585366","67.5654146341463","67.9915365853659","68.4147317073171","68.8304878048781","69.2292682926829","69.6000487804878","69.9242682926829","70.1828780487805","70.3673414634146","70.4796585365854","70.5263414634146","70.5319268292683","70.5294146341464","70.5429024390244","70.5829756097561","70.6412682926829","70.6845365853659","70.6616097560976","70.535512195122","70.2901463414634","69.9356829268293","69.5","69.0242926829268","68.5675609756098","68.1820975609756","67.899512195122","67.7478048780488","67.7382926829268","67.8533414634147","68.0695609756098","68.3766585365854","68.7635609756098","69.2168536585366","69.7164146341464","70.2402195121951","70.7670975609756","71.2765853658537","71.7558292682927","72.2016097560976","72.6095853658537","72.973756097561","73.2873902439024","73.5482682926829","73.7646585365854","73.945","74.0958292682927","74.2263414634146","74.3428292682927","74.4520975609756","74.5613658536585","74.6757073170732","74.7971219512195","",
"American Samoa","ASM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
